filename,width,height,class,xmin,ymin,xmax,ymax
505_png_jpg.rf.37a2e472c9f24c4e965a5a0bcd4ee98b.jpg,640,640,yellow,371,326,471,456
traffic-light-81-_jpg.rf.37051d2a75e2fdca654ff69e8e5893cb.jpg,640,640,red,177,78,492,571
560_png_jpg.rf.376174938ca50785ec606d9baa599f17.jpg,640,640,yellow,231,191,361,356
traffic-light-164-_jpg.rf.36bc53b31414903216995352791e85d6.jpg,640,640,yellow,248,155,417,488
448_png_jpg.rf.37113b5380cf5b9dbee43e4e89f3a45d.jpg,640,640,red,434,195,505,287
294_png_jpg.rf.36c66a82e640e55ce68b1c971245a4ca.jpg,640,640,green,184,99,257,205
traffic-light-703-_jpg.rf.36a0a5e9872e12798bd88c64592b24ee.jpg,640,640,yellow,239,246,377,499
traffic-light-663-_jpg.rf.373f11b927e948c667e17bf8ddfdc5fb.jpg,640,640,green,120,398,143,462
495_png_jpg.rf.36f5449caf153f982d346c3fcb11eadc.jpg,640,640,yellow,185,178,284,306
324_png_jpg.rf.37717b6ab36108a8d6826aef39d4364f.jpg,640,640,green,184,130,259,239
traffic-light-656-_jpg.rf.365c287fef826bd928e46002a9c93b19.jpg,640,640,red,435,19,481,90
traffic-light-656-_jpg.rf.365c287fef826bd928e46002a9c93b19.jpg,640,640,red,263,283,300,348
traffic-light-346-_jpg.rf.3714759696fce38371746742a26fcbf0.jpg,640,640,red,339,54,401,184
traffic-light-499-_jpg.rf.3785b817e0e82caf6101c91515e6f4d4.jpg,640,640,green,536,298,567,391
484_png_jpg.rf.36b5802fa537f0b3246186437dbbda4d.jpg,640,640,green,335,202,452,376
408_png_jpg.rf.36cdc0994e91e35c5461eab6714e89b3.jpg,640,640,green,162,440,240,553
419_png_jpg.rf.36f7e09f4a24fba06fcd70e1b5261088.jpg,640,640,yellow,211,197,362,367
traffic-light-243-_jpg.rf.366eb1c4b13fcfb63f1287052276adc2.jpg,640,640,yellow,230,160,373,392
86_png_jpg.rf.37d68311630b9be811a200463d89d4ad.jpg,640,640,red,225,107,282,183
traffic-light-530-_jpg.rf.373d5c82548f68c9271b13e7243e0c85.jpg,640,640,green,247,94,400,569
471_png_jpg.rf.36d380042bb3410e71d011f6ca70d047.jpg,640,640,green,390,101,474,218
traffic-light-343-_jpg.rf.37a88056f62f8a197ca2460ad7a7657f.jpg,640,640,red,61,293,160,451
traffic-light-343-_jpg.rf.37a88056f62f8a197ca2460ad7a7657f.jpg,640,640,red,459,175,608,265
traffic-light-25-_jpg.rf.371f9dc8c011caa5e93d63a32d1bea6b.jpg,640,640,green,259,178,392,500
traffic-light-594-_jpg.rf.37bc69ef45af5a78fa44b971ca7e55d1.jpg,640,640,red,302,295,432,541
271_png_jpg.rf.379e93eb7170a9c07578b4ee7c231a2d.jpg,640,640,red,214,115,290,213
131_png_jpg.rf.37dd5ffc00725003351bdf30e5305ad1.jpg,640,640,red,271,142,363,264
237_png_jpg.rf.37dc3d79ae9950007da998ecdbcc7490.jpg,640,640,green,328,352,388,436
traffic-light-626-_jpg.rf.37f8b82d6b9c221674a7fffba22b4a49.jpg,640,640,red,263,152,394,454
256_png_jpg.rf.36f0419d664ce2db990f049eebe12ba6.jpg,640,640,yellow,246,235,311,323
499_png_jpg.rf.37df5d64c2a2c455ae1c45fc6d5cc372.jpg,640,640,yellow,178,178,279,309
340_png_jpg.rf.385c60dc0306c48524261be4a3a1b182.jpg,640,640,red,224,145,328,263
527_png_jpg.rf.381d6819f78ce7eba75e869679b03650.jpg,640,640,green,279,383,449,585
548_png_jpg.rf.385f46691113a6e53194d5c2785c7ffb.jpg,640,640,green,299,427,461,613
88_png_jpg.rf.3829232cdd95eda9bdd994f6b6865d90.jpg,640,640,red,74,229,170,344
IMG_1533_jpg.rf.3895ea5560e94833dbc09c8f8996c312.jpg,640,640,yellow,208,277,242,314
IMG_1533_jpg.rf.3895ea5560e94833dbc09c8f8996c312.jpg,640,640,yellow,301,281,320,317
416_png_jpg.rf.385d77446e4a058a3b18f13b0f5b0e03.jpg,640,640,red,317,279,380,387
500_png_jpg.rf.388fdbfe36520c9887d08cb5c2097c88.jpg,640,640,yellow,173,177,285,316
72_png_jpg.rf.38a8aaef9431a9541f0e1af6d757267e.jpg,640,640,red,74,225,174,344
traffic-light-858-_jpg.rf.38bcd06a53c08f6c726efb4f8550e219.jpg,640,640,red,159,148,396,533
299_png_jpg.rf.387e845d058d63de966b56bdd13cb31c.jpg,640,640,red,321,294,356,336
478_png_jpg.rf.38cea150f7400e89246c849b2d10b444.jpg,640,640,green,159,452,248,576
417_png_jpg.rf.38ad2e5949ffeb506be3661f9c7e671f.jpg,640,640,green,274,158,383,330
traffic-light-660-_jpg.rf.38e07146bf967bb6123e8660e219afa0.jpg,640,640,red,269,525,287,582
traffic-light-660-_jpg.rf.38e07146bf967bb6123e8660e219afa0.jpg,640,640,red,54,307,82,369
333_png_jpg.rf.38d2b9ee684332f862638124d640ac62.jpg,640,640,yellow,287,340,341,410
traffic-light-702-_jpg.rf.38d9d1c9acf5852a02f2c0565d7b9dd0.jpg,640,640,green,234,227,375,484
379_png_jpg.rf.38ebb99899b6a70cc7cec5b85e0d5333.jpg,640,640,yellow,251,205,371,359
429_png_jpg.rf.38f88311d55f9271692dc9da33b50535.jpg,640,640,yellow,469,205,550,319
traffic-light-547-_jpg.rf.38ebd6c1c6bda036416044efe60613ad.jpg,640,640,green,206,192,320,474
468_png_jpg.rf.38f9c96d92bc46da8aaea19e2df3bccc.jpg,640,640,green,161,119,244,241
312_png_jpg.rf.39068edde9493230781305ad9efc1f46.jpg,640,640,yellow,282,400,336,469
436_png_jpg.rf.390794d87912243778c7f1a3d2d3bfae.jpg,640,640,yellow,241,172,327,277
183_png_jpg.rf.39293d088ae0e1db9cb09793f7716499.jpg,640,640,red,210,297,283,377
351_png_jpg.rf.3902f4ad2bfb32b1e62282f25253d738.jpg,640,640,yellow,271,180,372,319
traffic-light-558-_jpg.rf.3922c671f877f6279ad58862a96ca021.jpg,640,640,green,393,91,539,407
90_png_jpg.rf.394f9090d2a18813878a7a2be826885c.jpg,640,640,yellow,363,405,445,485
301_png_jpg.rf.3939b28fc657b63b7b3b413f1c95ceb5.jpg,640,640,red,272,149,398,305
393_png_jpg.rf.3956371fcbcd666a75acca68fcd2053f.jpg,640,640,yellow,245,271,302,345
traffic-light-781-_jpg.rf.395c31e52905aec4e63e77e945e8eb91.jpg,640,640,green,446,158,542,389
traffic-light-605-_jpg.rf.395e9c874068037cd3f31c56d97abd66.jpg,640,640,green,144,143,253,430
traffic-light-304-_jpg.rf.399790cf13782567f611c74b447b26ee.jpg,640,640,green,540,78,584,201
traffic-light-304-_jpg.rf.399790cf13782567f611c74b447b26ee.jpg,640,640,green,46,443,94,567
282_png_jpg.rf.39bd057c81ac0957e23ae6085492a753.jpg,640,640,yellow,229,254,286,326
traffic-light-367-_jpg.rf.3953f5c7ba10a2397abc3dacbd85b3f8.jpg,640,640,green,290,100,319,169
traffic-light-108-_jpg.rf.39abe379d792591cca17865300081b13.jpg,640,640,green,213,132,398,443
traffic-light-746-_jpg.rf.39d99bf378962c69115831d513f8077d.jpg,640,640,red,114,112,276,490
368_png_jpg.rf.39bb7c26dd0471de85baf8f6a45be913.jpg,640,640,green,241,360,311,469
440_png_jpg.rf.39ebb141cc7a4a5f936be0eee8d21bb8.jpg,640,640,yellow,480,196,566,316
traffic-light-804-_jpg.rf.39db8d7e8ec800d270cd88e868b6191a.jpg,640,640,yellow,126,213,352,353
